nombre,apellido1,apellido2,dni,correo,telefono,DNI_OK,DNI_KO,Telefono_OK,Telefono_KO,Correo_OK,Correo_KO,cod cliente
Maria,Garcia,Perez,******78A,maria.garcia@example.com,612345678,Y,N,Y,N,Y,N,C001
Jose,Lopez,Hernandez,******21B,jose.lopez@example.com,612345679,Y,N,Y,N,Y,N,C002
Ana-Maria,Ruiz,,******89C,ana.ruiz@example.com,612345680,Y,N,Y,N,Y,N,C003
Luis,Sanchez,Gomez,******01D,luis.sanchez@correo.es,612345004,Y,N,Y,N,Y,N,C004
Carmen,Romero,Diaz,******12E,carmen.romero@correo.es,612345005,Y,N,Y,N,Y,N,C005
David,Navarro,Ortega,******23F,david.navarro@correo.es,612345006,Y,N,Y,N,Y,N,C006
Laura,Torres,Vega,******34G,laura.torres@correo.es,612345007,Y,N,Y,N,Y,N,C007
Javier,Flores,Ramos,******45H,javier.flores@correo.es,612345008,Y,N,Y,N,Y,N,C008
Elena,Castro,Molina,******56J,elena.castro@correo.es,612345009,Y,N,Y,N,Y,N,C009
Pablo,Suarez,Gil,******67K,pablo.suarez@correo.es,612345010,Y,N,Y,N,Y,N,C010
Marta,Blanco,Iglesias,******44L,marta.blanco@correo.es,612345011,Y,N,Y,N,Y,N,C011
Sergio,Medina,Santos,******55M,sergio.medina@correo.es,612345012,Y,N,Y,N,Y,N,C012
Lucia,Cruz,Delgado,******66N,lucia.cruz@correo.es,612345013,Y,N,Y,N,Y,N,C013
Raul,Prieto,Calvo,******77P,raul.prieto@correo.es,612345014,Y,N,Y,N,Y,N,C014
Patricia,Leon,Fuentes,******88Q,patricia.leon@correo.es,612345015,Y,N,Y,N,Y,N,C015
Alberto,Herrera,Marin,******99R,alberto.herrera@correo.es,612345016,Y,N,Y,N,Y,N,C016
Natalia,Vargas,Cano,******00S,natalia.vargas@correo.es,612345017,Y,N,Y,N,Y,N,C017
Ivan,Mendez,Pera,******11T,ivan.mendez@correo.es,612345018,Y,N,Y,N,Y,N,C018
Silvia,Reyes,Campos,******22U,silvia.reyes@correo.es,612345019,Y,N,Y,N,Y,N,C019
Hugo,Guerrero,Luna,******23V,hugo.guerrero@correo.es,612345020,Y,N,Y,N,Y,N,C020
Rosa,Morales,Nieto,******15W,rosa.morales@correo.es,612345021,Y,N,Y,N,Y,N,C021
Daniel,Ortiz,Pardo,******16X,daniel.ortiz@correo.es,612345022,Y,N,Y,N,Y,N,C022
Beatriz,Rubio,Serrano,******17Y,beatriz.rubio@correo.es,612345023,Y,N,Y,N,Y,N,C023
Fernando,Ramirez,Cortes,******18Z,fernando.ramirez@correo.es,612345024,Y,N,Y,N,Y,N,C024
Irene,Aguilar,Pastor,******19A,irene.aguilar@correo.es,612345025,Y,N,Y,N,Y,N,C025
