cod_cliente;nombre;apellido1;apellido2;dni;correo;telefono;DNI_OK;DNI_KO;Telefono_OK;Telefono_KO;Correo_OK;Correo_KO
C026;Alvaro;Campos;Rojas;******20B;alvaro.campos@correo.es;612345026;Y;N;Y;N;Y;N
C027;Noelia;Vidal;Soto;******21C;noelia.vidal@correo.es;612345027;Y;N;Y;N;Y;N
C028;Oscar;Mora;Arias;******22D;oscar.mora@correo.es;612345028;Y;N;Y;N;Y;N
C029;Eva;Dominguez;Navas;******23E;eva.dominguez@correo.es;612345029;Y;N;Y;N;Y;N
C030;Ruben;Cabrera;Salas;******24F;ruben.cabrera@correo.es;612345030;Y;N;Y;N;Y;N
C031;Claudia;Ferrer;Lorenzo;******25G;claudia.ferrer@correo.es;612345031;Y;N;Y;N;Y;N
C032;Mario;Redondo;Benitez;******26H;mario.redondo@correo.es;612345032;Y;N;Y;N;Y;N
C033;Alicia;Roldan;Moya;******27J;alicia.roldan@correo.es;612345033;Y;N;Y;N;Y;N
C034;Samuel;Cano;Soler;******28K;samuel.cano@correo.es;612345034;Y;N;Y;N;Y;N
C035;Andrea;Pascual;Esteban;******29L;andrea.pascual@correo.es;612345035;Y;N;Y;N;Y;N
C036;Victor;Aparicio;Montes;******30M;victor.aparicio@correo.es;612345036;Y;N;Y;N;Y;N
C037;Lorena;Santana;Corral;******31N;lorena.santana@correo.es;612345037;Y;N;Y;N;Y;N
C038;Guillermo;Lara;Rico;******32P;guillermo.lara@correo.es;612345038;Y;N;Y;N;Y;N
C039;Cristina;Franco;Varela;******33Q;cristina.franco@correo.es;612345039;Y;N;Y;N;Y;N
C040;Diego;Pacheco;Saez;******34R;diego.pacheco@correo.es;612345040;Y;N;Y;N;Y;N
C041;Monica;Escobar;Bravo;******35S;monica.escobar@correo.es;612345041;Y;N;Y;N;Y;N
C042;Jorge;Cuevas;Sierra;******36T;jorge.cuevas@correo.es;612345042;Y;N;Y;N;Y;N
C043;Nuria;Valero;Peinado;******37U;nuria.valero@correo.es;612345043;Y;N;Y;N;Y;N
C044;Adrian;Padilla;Tejada;******38V;adrian.padilla@correo.es;612345044;Y;N;Y;N;Y;N
C045;Sara;Zamora;Lillo;******39W;sara.zamora@correo.es;612345045;Y;N;Y;N;Y;N
C046;Hector;Coronado;Ibanez;******40X;hector.coronado@correo.es;612345046;Y;N;Y;N;Y;N
C047;Paula;Ojeda;Carrasco;******41Y;paula.ojeda@correo.es;612345047;Y;N;Y;N;Y;N
C048;Ignacio;Beltran;Gallego;******42Z;ignacio.beltran@correo.es;612345048;Y;N;Y;N;Y;N
C049;Rocio;Quesada;Heredia;******43A;rocio.quesada@correo.es;612345049;Y;N;Y;N;Y;N
C050;Marcos;Villalba;Ros;******44B;marcos.villalba@correo.es;612345050;Y;N;Y;N;Y;N
C051;Isabel;Millan;Toledo;******45C;isabel.millan@correo.es;612345051;Y;N;Y;N;Y;N
C052;Andres;Aranda;Plaza;******46D;andres.aranda@correo.es;612345052;Y;N;Y;N;Y;N
C053;Julia;Benito;Falcon;******47E;julia.benito@correo.es;612345053;Y;N;Y;N;Y;N
C054;Tomas;Lafuente;Blazquez;******48F;tomas.lafuente@correo.es;612345054;Y;N;Y;N;Y;N
C055;Veronica;Saura;Crespo;******49G;veronica.saura@correo.es;612345055;Y;N;Y;N;Y;N
C056;Borja;Moreno;Escudero;******50H;borja.moreno@correo.es;612345056;Y;N;Y;N;Y;N
C057;Ines;Gallardo;Rivas;******51J;ines.gallardo@correo.es;612345057;Y;N;Y;N;Y;N
C058;Rodrigo;Simon;Barrio;******52K;rodrigo.simon@correo.es;612345058;Y;N;Y;N;Y;N
C059;Teresa;Alonso;Requena;******53L;teresa.alonso@correo.es;612345059;Y;N;Y;N;Y;N
C060;Angel;Nieto;Sancho;******54M;angel.nieto@correo.es;612345060;Y;N;Y;N;Y;N
C061;Celia;Bermudez;Vicente;******55N;celia.bermudez@correo.es;612345061;Y;N;Y;N;Y;N
C062;Emilio;Segura;Casado;******56P;emilio.segura@correo.es;612345062;Y;N;Y;N;Y;N
C063;Raquel;Prats;Batlle;******57Q;raquel.prats@correo.es;612345063;Y;N;Y;N;Y;N
C064;Federico;Maldonado;Roman;******58R;federico.maldonado@correo.es;612345064;Y;N;Y;N;Y;N
C065;Olga;Ballesteros;Garrido;******59S;olga.ballesteros@correo.es;612345065;Y;N;Y;N;Y;N
C066;Lucas;Tellez;Montero;******60T;lucas.tellez@correo.es;612345066;Y;N;Y;N;Y;N
C067;Ainhoa;Solis;Cuenca;******61U;ainhoa.solis@correo.es;612345067;Y;N;Y;N;Y;N
C068;Bruno;Hidalgo;Vico;******62V;bruno.hidalgo@correo.es;612345068;Y;N;Y;N;Y;N
C069;Esther;Parra;Manzano;******63W;esther.parra@correo.es;612345069;Y;N;Y;N;Y;N
C070;Fabian;Rojo;Lazaro;******64X;fabian.rojo@correo.es;612345070;Y;N;Y;N;Y;N
C071;Lidia;Ramos;Cobos;******65Y;lidia.ramos@correo.es;612345071;Y;N;Y;N;Y;N
C072;Mateo;Del rio;Santisteban;******66Z;mateo.delrio@correo.es;612345072;Y;N;Y;N;Y;N
C073;Yolanda;Acedo;Barrios;******67A;yolanda.acedo@correo.es;612345073;Y;N;Y;N;Y;N
C074;Julio;Penalver;Sampedro;******68B;julio.penalver@correo.es;612345074;Y;N;Y;N;Y;N
C075;Barbara;Urbano;Marquez;******69C;barbara.urbano@correo.es;612345075;Y;N;Y;N;Y;N
