cod cliente;nombre;apellido1;apellido2;dni;correo;telefono
C001; María ;García ;Pérez;12345678A;maria.garcia@example.com; 612345678
C002;JOSÉ;LÓPEZ;HERNÁNDEZ;87654321B;jose.lopez@example.com;612345679
C003;Ana-María;Ruiz; ;23456789C;ana.ruiz@example.com;612345680
C004;Luis;Sanchez;Gomez;45678901D;luis.sanchez@correo.es;612345004� �
C005;Carmen;Romero;Diaz;56789012E;carmen.romero@correo.es;612345005�
C006;David;Navarro;Ortega;67890123F;david.navarro@correo.es;612345006
C007;Laura;Torres;Vega;78901234G;laura.torres@correo.es;612345007
C008;Javier;Flores;Ramos;89012345H;javier.flores@correo.es;612345008
C009;Elena;Castro;Molina;90123456J;elena.castro@correo.es;612345009
C010;Pablo;Suarez;Gil;01234567K;pablo.suarez@correo.es;612345010�
C011;Marta;Blanco;Iglesias;11223344L;marta.blanco@correo.es;612345011
C012;Sergio;Medina;Santos;22334455M;sergio.medina@correo.es;612345012
C013;Lucia;Cruz;Delgado;33445566N;lucia.cruz@correo.es;612345013�
C014;Raul;Prieto;Calvo;44556677P;raul.prieto@correo.es;612345014�
C015;Patricia;Leon;Fuentes;55667788Q;patricia.leon@correo.es;612345015�
C016;Alberto;Herrera;Marin;66778899R;alberto.herrera@correo.es;612345016�
C017;Natalia;Vargas;Cano;77889900S;natalia.vargas@correo.es;612345017
C018;Ivan;Mendez;Pera;88990011T;ivan.mendez@correo.es;612345018� � �
C019;Silvia;Reyes;Campos;99001122U;silvia.reyes@correo.es;612345019
C020;Hugo;Guerrero;Luna;10111223V;hugo.guerrero@correo.es;612345020
C021;Rosa;Morales;Nieto;12131415W;rosa.morales@correo.es;612345021
C022;Daniel;Ortiz;Pardo;13141516X;daniel.ortiz@correo.es;612345022
C023;Beatriz;Rubio;Serrano;14151617Y;beatriz.rubio@correo.es;612345023
C024;Fernando;Ramirez;Cortes;15161718Z;fernando.ramirez@correo.es;612345024�
C025;Irene;Aguilar;Pastor;16171819A;irene.aguilar@correo.es;612345025
C003;5500000000000003;2029-02;808
C007;5500000000000007;2029-03;909
C010;5500000000000010;2029-04;111
C015;5500000000000015;2029-05;222
C020;5500000000000020;2029-06;333
