origen,error,error_detalle,nombre,apellido1,apellido2,dni,correo,telefono,DNI_OK,DNI_KO,Telefono_OK,Telefono_KO,Correo_OK,Correo_KO,cod cliente
CLIENTES,validacion_cliente,dni_invalido,Maria,Garcia,Perez,12345678A,maria.garcia@example.com,612345678,N,Y,Y,N,Y,N,C001
CLIENTES,validacion_cliente,dni_invalido,JOSE,LOPEZ,HERNANDEZ,87654321B,jose.lopez@example.com,612345679,N,Y,Y,N,Y,N,C002
CLIENTES,validacion_cliente,dni_invalido,Ana-Maria,Ruiz,,23456789C,ana.ruiz@example.com,612345680,N,Y,Y,N,Y,N,C003
CLIENTES,validacion_cliente,dni_invalido,Luis,S nchez,G mez,45678901D,luis.sanchez@correo.es,612345004,N,Y,Y,N,Y,N,C004
CLIENTES,validacion_cliente,dni_invalido,Carmen,Romero,D az,56789012E,carmen.romero@correo.es,612345005,N,Y,Y,N,Y,N,C005
CLIENTES,validacion_cliente,dni_invalido,David,Navarro,Ortega,67890123F,david.navarro@correo.es,612345006,N,Y,Y,N,Y,N,C006
CLIENTES,validacion_cliente,dni_invalido,Laura,Torres,Vega,78901234G,laura.torres@correo.es,612345007,N,Y,Y,N,Y,N,C007
CLIENTES,validacion_cliente,dni_invalido,Javier,Flores,Ramos,89012345H,javier.flores@correo.es,612345008,N,Y,Y,N,Y,N,C008
CLIENTES,validacion_cliente,dni_invalido,Elena,Castro,Molina,90123456J,elena.castro@correo.es,612345009,N,Y,Y,N,Y,N,C009
CLIENTES,validacion_cliente,dni_invalido,Pablo,Su rez,Gil,01234567K,pablo.suarez@correo.es,612345010,N,Y,Y,N,Y,N,C010
CLIENTES,validacion_cliente,dni_invalido,Marta,Blanco,Iglesias,11223344L,marta.blanco@correo.es,612345011,N,Y,Y,N,Y,N,C011
CLIENTES,validacion_cliente,dni_invalido,Sergio,Medina,Santos,22334455M,sergio.medina@correo.es,612345012,N,Y,Y,N,Y,N,C012
CLIENTES,validacion_cliente,dni_invalido,Luc a,Cruz,Delgado,33445566N,lucia.cruz@correo.es,612345013,N,Y,Y,N,Y,N,C013
CLIENTES,validacion_cliente,dni_invalido,Ra l,Prieto,Calvo,44556677P,raul.prieto@correo.es,612345014,N,Y,Y,N,Y,N,C014
CLIENTES,validacion_cliente,dni_invalido,Patricia,Le n,Fuentes,55667788Q,patricia.leon@correo.es,612345015,N,Y,Y,N,Y,N,C015
CLIENTES,validacion_cliente,dni_invalido,Alberto,Herrera,Mar n,66778899R,alberto.herrera@correo.es,612345016,N,Y,Y,N,Y,N,C016
CLIENTES,validacion_cliente,dni_invalido,Natalia,Vargas,Cano,77889900S,natalia.vargas@correo.es,612345017,N,Y,Y,N,Y,N,C017
CLIENTES,validacion_cliente,dni_invalido,Iv n,M ndez,Pe a,88990011T,ivan.mendez@correo.es,612345018,N,Y,Y,N,Y,N,C018
CLIENTES,validacion_cliente,dni_invalido,Silvia,Reyes,Campos,99001122U,silvia.reyes@correo.es,612345019,N,Y,Y,N,Y,N,C019
CLIENTES,validacion_cliente,dni_invalido,Hugo,Guerrero,Luna,10111223V,hugo.guerrero@correo.es,612345020,N,Y,Y,N,Y,N,C020
CLIENTES,validacion_cliente,dni_invalido,Rosa,Morales,Nieto,12131415W,rosa.morales@correo.es,612345021,N,Y,Y,N,Y,N,C021
CLIENTES,validacion_cliente,dni_invalido,Daniel,Ortiz,Pardo,13141516X,daniel.ortiz@correo.es,612345022,N,Y,Y,N,Y,N,C022
CLIENTES,validacion_cliente,dni_invalido,Beatriz,Rubio,Serrano,14151617Y,beatriz.rubio@correo.es,612345023,N,Y,Y,N,Y,N,C023
CLIENTES,validacion_cliente,dni_invalido,Fernando,Ram rez,Cortes,15161718Z,fernando.ramirez@correo.es,612345024,N,Y,Y,N,Y,N,C024
CLIENTES,validacion_cliente,dni_invalido,Irene,Aguilar,Pastor,16171819A,irene.aguilar@correo.es,612345025,N,Y,Y,N,Y,N,C025
CLIENTES,validacion_cliente,dni_invalido|telefono_invalido|correo_invalido,5500000000000003,2029-02,808,NONE,none,None,N,Y,N,Y,N,Y,C003
CLIENTES,validacion_cliente,dni_invalido|telefono_invalido|correo_invalido,5500000000000007,2029-03,909,NONE,none,None,N,Y,N,Y,N,Y,C007
CLIENTES,validacion_cliente,dni_invalido|telefono_invalido|correo_invalido,5500000000000010,2029-04,111,NONE,none,None,N,Y,N,Y,N,Y,C010
CLIENTES,validacion_cliente,dni_invalido|telefono_invalido|correo_invalido,5500000000000015,2029-05,222,NONE,none,None,N,Y,N,Y,N,Y,C015
CLIENTES,validacion_cliente,dni_invalido|telefono_invalido|correo_invalido,5500000000000020,2029-06,333,NONE,none,None,N,Y,N,Y,N,Y,C020
